titre,prix,details
Saint-Romain-Au-Mont-D'or (69270),740000,5 pièces 3 chambres 190 m²
La Mulatière (69350),398000,4 pièces 3 chambres 87 m²
Belleville-En-Beaujolais (69220),260000,5 pièces 3 chambres 121 m²
Sainte-Foy-Lès-Lyon (69110),359000,3 pièces 2 chambres 68 m²
Caluire-Et-Cuire,275000,4 pièces 3 chambres 63 m²
Saint-Priest (69800),215000,3 pièces 2 chambres 60 m²
Dardilly,810000,5 pièces 3 chambres 137 m²
Maison 119 m² à construire Jonage (69330),512000,4 chambres 119 m² 817 m²
Appartement neuf à Genas,228000,
Genas (69740),549000,5 pièces 3 chambres 116 m²
Villeurbanne (69100),342000,4 pièces 3 chambres 85 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Le Perréon (69460),390000,7 pièces 4 chambres 157 m²
Appartement neuf à Saint-Georges-de-Reneins,177300,
Maison 109 m² à construire Communay (69360),358470,4 chambres 109 m² 456 m²
Grigny-Sur-Rhône,445000,7 pièces 5 chambres 280 m²
Lyon 5E (69005),240000,3 pièces 2 chambres 73 m²
Lyon 7E (69007),249000,2 pièces 1 chambre 59 m²
Liergues (69400),370000,6 pièces 4 chambres 200 m²
Saint-Priest (69800),215000,3 pièces 2 chambres 60 m²
Dardilly,810000,5 pièces 3 chambres 137 m²
Maison 119 m² à construire Jonage (69330),512000,4 chambres 119 m² 817 m²
Appartement neuf à Vénissieux,178400,
Genas (69740),549000,5 pièces 3 chambres 116 m²
Villeurbanne (69100),342000,4 pièces 3 chambres 85 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Le Perréon (69460),390000,7 pièces 4 chambres 157 m²
Appartement neuf à Décines-Charpieu,217000,
Maison 109 m² à construire Communay (69360),358470,4 chambres 109 m² 456 m²
Grigny-Sur-Rhône,445000,7 pièces 5 chambres 280 m²
Charbonnières-Les-Bains (69260),1080000,7 pièces 5 chambres 200 m²
Sourcieux-Les-Mines,429000,5 pièces 4 chambres 122 m²
+ Garage Lyon 7E (69007),300000,3 pièces 2 chambres 52 54 m²
Lyon 1Er (69001),189000,2 pièces 1 chambre 35 m²
Lyon 8E,234000,3 pièces 2 chambres 54 30 m²
Belleville-En-Beaujolais (69220),260000,5 pièces 3 chambres 121 m²
Maison 87 m² à construire Villefranche-sur-Saône (69400),271400,3 chambres 87 m² 233 m²
Appartement neuf à Sain-Bel,158000,
Couzon-Au-Mont-D'or (69270),529000,5 pièces 4 chambres 112 m²
Sourcieux-Les-Mines,429000,5 pièces 4 chambres 122 m²
Lyon 4E (69004),339000,3 pièces 2 chambres 57 m²
Lyon 3E (69003),258000,2 pièces 1 chambre 52 m²
Appartement neuf à Givors,125000,
Maison 88 m² à construire Échalas (69700),299500,3 chambres 88 m² 318 m²
Sourcieux-Les-Mines,429000,5 pièces 4 chambres 122 m²
Francheville (69340),275000,3 pièces 2 chambres 67 m²
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
Lyon 1Er (69001),189000,2 pièces 1 chambre 35 m²
Lyon 8E,234000,3 pièces 2 chambres 54 30 m²
Belleville-En-Beaujolais (69220),260000,5 pièces 3 chambres 121 m²
Maison 87 m² à construire Villefranche-sur-Saône (69400),271400,3 chambres 87 m² 233 m²
Appartement neuf à Rillieux-la-Pape,314000,
Couzon-Au-Mont-D'or (69270),529000,5 pièces 4 chambres 112 m²
Sourcieux-Les-Mines,429000,5 pièces 4 chambres 122 m²
Lyon 4E (69004),339000,3 pièces 2 chambres 57 m²
Lyon 3E (69003),258000,2 pièces 1 chambre 52 m²
Appartement neuf à Tassin-la-Demi-Lune,239000,
Maison 88 m² à construire Échalas (69700),299500,3 chambres 88 m² 318 m²
Lyon 8E (69008),308000,3 pièces 2 chambres 74 m²
Saint-Priest (69800),598000,6 pièces 4 chambres 152 m²
Lyon 6E (69006),229000,2 pièces 1 chambre 51 m²
Lyon 7E (69007),159500,1 pièce 27 m²
Caluire-Et-Cuire (69300),470000,3 pièces 2 chambres 92 m²
Caluire-Et-Cuire (69300),245000,3 pièces 2 chambres 62 50 m²
Lyon 3E (69003),328000,3 pièces 2 chambres 70 m²
Maison 130 m² à construire Toussieu (69780),611241,4 chambres 130 m² 694 m²
Appartement neuf à Bron,221000,
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Thurins (69510),530000,8 pièces 6 chambres 178 m²
Lyon 5E (69005),140000,2 pièces 1 chambre 33 m²
Lyon 7E (69007),335000,3 pièces 2 chambres 67 m²
Grigny-Sur-Rhône,445000,7 pièces 5 chambres 280 m²
Charbonnières-Les-Bains (69260),1080000,7 pièces 5 chambres 200 m²
Lyon 6E (69006),455000,3 pièces 2 chambres 72 m²
Lyon 7E (69007),159500,1 pièce 27 m²
Caluire-Et-Cuire (69300),470000,3 pièces 2 chambres 92 m²
Caluire-Et-Cuire (69300),245000,3 pièces 2 chambres 62 50 m²
Lyon 3E (69003),328000,3 pièces 2 chambres 70 m²
Maison 130 m² à construire Toussieu (69780),611241,4 chambres 130 m² 694 m²
Appartement neuf à Vaulx-en-Velin,184900,
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Thurins (69510),530000,8 pièces 6 chambres 178 m²
Lyon 5E (69005),140000,2 pièces 1 chambre 33 m²
Lyon 7E (69007),335000,3 pièces 2 chambres 67 m²
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Orliénas (69530),135000,3 pièces 1 chambre 94 m²
Caluire-Et-Cuire,275000,4 pièces 3 chambres 63 m²
Appartement neuf à Tassin-la-Demi-Lune,239000,
Maison 102 m² à construire Grigny-sur-Rhône (69520),352000,4 chambres 102 m²
Lyon 7E (69007),285000,2 pièces 1 chambre 52 80 m²
Tassin-La-Demi-Lune (69160),379000,4 pièces 3 chambres 93 m²
Caluire-Et-Cuire,275000,4 pièces 3 chambres 63 m²
Châtillon (69380),540000,5 pièces 3 chambres 165 m²
Maison 105 m² à construire Vénissieux (69200),299900,4 chambres 105 m² 300 m²
Appartement neuf à Brindas,220000,
Francheville (69340),250000,3 pièces 2 chambres 69 m²
Bron (69500),312000,4 pièces 3 chambres 76 m²
Saint-Bonnet-Le-Troncy (69870),169000,6 pièces 4 chambres 102 m²
Lyon 6E (69006),785000,4 pièces 3 chambres 118 m²
Saint-Didier-Au-Mont-D'or (69370),1190000,8 pièces 6 chambres 217 m²
Duplex Lyon 6E,295000,3 pièces 2 chambres 61 m²
Appartement neuf à Villeurbanne,215000,
Maison 102 m² à construire Grigny-sur-Rhône (69520),352000,4 chambres 102 m²
Lyon 7E (69007),285000,2 pièces 1 chambre 52 80 m²
Tassin-La-Demi-Lune (69160),379000,4 pièces 3 chambres 93 m²
Caluire-Et-Cuire,275000,4 pièces 3 chambres 63 m²
Châtillon (69380),540000,5 pièces 3 chambres 165 m²
Maison 105 m² à construire Vénissieux (69200),299900,4 chambres 105 m² 300 m²
Appartement neuf à Rillieux-la-Pape,210427,
Francheville (69340),250000,3 pièces 2 chambres 69 m²
Bron (69500),312000,4 pièces 3 chambres 76 m²
Saint-Bonnet-Le-Troncy (69870),169000,6 pièces 4 chambres 102 m²
Saint-Genis-Les-Ollières (69290),530000,6 pièces 4 chambres 90 m²
Dardilly,810000,5 pièces 3 chambres 137 m²
Lyon 6E (69006),540000,3 pièces 2 chambres 92 49 m²
Rillieux-La-Pape (69140),499000,6 pièces 5 chambres 162 m²
Appartement neuf à Saint-Georges-de-Reneins,177300,
Maison 100 m² à construire Grézieu-la-Varenne (69290),380000,3 chambres 100 m² 528 m²
Irigny (69540),385000,5 pièces 3 chambres 100 m²
Saint-Martin-En-Haut,798000,6 pièces 4 chambres 276 m²
Duplex Lyon 6E,295000,3 pièces 2 chambres 61 m²
Corbas (69960),185000,5 pièces 3 chambres 90 47 m²
Maison 95 m² à construire Mions (69780),359154,3 chambres 95 m² 400 m²
Appartement neuf à Décines-Charpieu,217000,
Lyon 6E (69006),229000,2 pièces 1 chambre 51 m²
Lyon 8E (69008),308000,3 pièces 2 chambres 74 m²
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Sourcieux-Les-Mines,429000,5 pièces 4 chambres 122 m²
Francheville (69340),275000,3 pièces 2 chambres 67 m²
Rillieux-La-Pape (69140),499000,6 pièces 5 chambres 162 m²
Appartement neuf à Givors,125000,
Maison 100 m² à construire Grézieu-la-Varenne (69290),380000,3 chambres 100 m² 528 m²
Irigny (69540),385000,5 pièces 3 chambres 100 m²
Saint-Martin-En-Haut,798000,6 pièces 4 chambres 276 m²
Duplex Lyon 6E,295000,3 pièces 2 chambres 61 m²
Corbas (69960),185000,5 pièces 3 chambres 90 47 m²
Maison 95 m² à construire Mions (69780),359154,3 chambres 95 m² 400 m²
Appartement neuf à Saint-Georges-de-Reneins,177300,
Lyon 6E (69006),229000,2 pièces 1 chambre 51 m²
Lyon 8E (69008),308000,3 pièces 2 chambres 74 m²
Caluire-Et-Cuire,275000,4 pièces 3 chambres 63 m²
Francheville (69340),180000,2 pièces 1 chambre 54 44 m²
+ Garage Lyon 7E (69007),300000,3 pièces 2 chambres 52 54 m²
Lyon 5E (69005),430000,4 pièces 3 chambres 93 m²
Brignais (69530),299000,4 pièces 3 chambres 81 m²
Appartement neuf à Givors,125000,
Maison 134 m² à construire Saint-Andéol-le-Château (69700),599999,4 chambres 134 m² 840 m²
Chaponost (69630),540000,5 pièces 4 chambres 108 m²
Écully,387000,4 pièces 3 chambres 106 m²
Chaponost,699000,7 pièces 4 chambres 130 m²
Villeurbanne (69100),215000,4 pièces 2 chambres 56 m²
Maison 110 m² à construire Genas (69740),499000,4 chambres 110 m²
Appartement neuf à Vaulx-en-Velin,184900,
Lyon 3E (69003),480000,4 pièces 3 chambres 105 m²
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
Duplex Lyon 6E,295000,3 pièces 2 chambres 61 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Lyon 5E (69005),430000,4 pièces 3 chambres 93 m²
Brignais (69530),299000,4 pièces 3 chambres 81 m²
Appartement neuf à Villeurbanne,215000,
Maison 134 m² à construire Saint-Andéol-le-Château (69700),599999,4 chambres 134 m² 840 m²
Chaponost (69630),540000,5 pièces 4 chambres 108 m²
Écully,387000,4 pièces 3 chambres 106 m²
Chaponost,699000,7 pièces 4 chambres 130 m²
Villeurbanne (69100),215000,4 pièces 2 chambres 56 m²
Maison 110 m² à construire Genas (69740),499000,4 chambres 110 m²
Appartement neuf à Bron,221000,
Lyon 3E (69003),480000,4 pièces 3 chambres 105 m²
Orliénas (69530),135000,3 pièces 1 chambre 94 m²
Lyon 5E (69005),240000,3 pièces 2 chambres 73 m²
Lyon 2E (69002),365000,3 pièces 2 chambres 68 m²
Lyon 5E (69005),440000,4 pièces 3 chambres 86 m²
Tassin-La-Demi-Lune (69160),640000,7 pièces 4 chambres 180 m²
Villeurbanne (69100),315000,4 pièces 3 chambres 82 28 m²
Appartement neuf à Saint-Georges-de-Reneins,177300,
Maison 130 m² à construire Brignais (69530),675223,4 chambres 130 m² 1.171 m²
Villeurbanne (69100),230000,4 pièces 3 chambres 79 m²
Caluire-Et-Cuire (69300),447000,4 pièces 3 chambres 103 m²
Francheville (69340),249000,3 pièces 2 chambres 79 m²
Francheville (69340),390000,3 pièces 2 chambres 100 m²
Maison 95 m² à construire Ville-sur-Jarnioux (69640),286700,3 chambres 95 m² 388 m²
Appartement neuf à Bron,221000,
Lyon 1Er (69001),189000,2 pièces 1 chambre 35 m²
Lyon 8E,234000,3 pièces 2 chambres 54 30 m²
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Lyon 5E (69005),440000,4 pièces 3 chambres 86 m²
Tassin-La-Demi-Lune (69160),640000,7 pièces 4 chambres 180 m²
Villeurbanne (69100),315000,4 pièces 3 chambres 82 28 m²
Appartement neuf à Décines-Charpieu,217000,
Maison 130 m² à construire Brignais (69530),675223,4 chambres 130 m² 1.171 m²
Villeurbanne (69100),230000,4 pièces 3 chambres 79 m²
Caluire-Et-Cuire (69300),447000,4 pièces 3 chambres 103 m²
Francheville (69340),249000,3 pièces 2 chambres 79 m²
Francheville (69340),390000,3 pièces 2 chambres 100 m²
Maison 95 m² à construire Ville-sur-Jarnioux (69640),286700,3 chambres 95 m² 388 m²
Appartement neuf à Vénissieux,164000,
Lyon 1Er (69001),189000,2 pièces 1 chambre 35 m²
Caluire-Et-Cuire,300000,4 pièces 2 chambres 78 m²
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Jonage (69330),550000,5 pièces 4 chambres 120 m²
Bron (69500),205000,2 pièces 1 chambre 45 m²
Orliénas (69530),135000,3 pièces 1 chambre 94 m²
Lyon 3E (69003),465000,3 pièces 2 chambres 80 m²
Appartement neuf à Lyon 8e,299000,
Maison 126 m² à construire Frontenas (69620),380000,4 chambres 126 m² 600 m²
Caluire-Et-Cuire,300000,4 pièces 2 chambres 78 m²
Saint-Cyr-Au-Mont-D'or,880000,5 pièces 4 chambres 153 m²
Irigny (69540),499000,4 pièces 3 chambres 101 m²
Lyon 2E (69002),325000,2 pièces 2 chambres 62 36 m²
Saint-Germain-Nuelles (69210),820000,6 pièces 4 chambres 335 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Lyon 8E,234000,3 pièces 2 chambres 54 30 m²
Jonage (69330),550000,5 pièces 4 chambres 120 m²
Bron (69500),205000,2 pièces 1 chambre 45 m²
Orliénas (69530),135000,3 pièces 1 chambre 94 m²
Lyon 3E (69003),465000,3 pièces 2 chambres 80 m²
Appartement neuf à Rillieux-la-Pape,210427,
Maison 126 m² à construire Frontenas (69620),380000,4 chambres 126 m² 600 m²
Caluire-Et-Cuire,300000,4 pièces 2 chambres 78 m²
Saint-Cyr-Au-Mont-D'or,880000,5 pièces 4 chambres 153 m²
Irigny (69540),499000,4 pièces 3 chambres 101 m²
Lyon 2E (69002),325000,2 pièces 2 chambres 62 36 m²
Lyon 2E (69002),365000,3 pièces 2 chambres 68 m²
Lyon 1Er (69001),530000,6 pièces 5 chambres 153 m²
Limonest,280000,3 pièces 2 chambres 67 m²
Maison 80 m² à construire Villeurbanne (69100),285295,3 chambres 80 m² 480 m²
Appartement neuf à Villeurbanne,215000,
Lyon 2E (69002),160000,2 pièces 1 chambre 27 m²
Lyon 2E (69002),190000,1 pièce 35 m²
Lyon 3E (69003),299000,3 pièces 2 chambres 60 m²
Lyon 4E (69004),680000,4 pièces 3 chambres 100 m²
Appartement neuf à Vaulx-en-Velin,254079,
Maison 118 m² à construire Saint-Priest (69800),432720,4 chambres 118 m² 436 m²
Villeurbanne (69100),285000,5 pièces 3 chambres 90 m²
Sérézin-Du-Rhône (69360),199000,3 pièces 2 chambres 66 m²
Saint-Genis-Les-Ollières (69290),530000,6 pièces 4 chambres 90 m²
Corbas (69960),185000,5 pièces 3 chambres 90 47 m²
Lyon 3E (69003),280000,2 pièces 1 chambre 45 20 m²
Brignais (69530),299000,4 pièces 3 chambres 81 m²
Maison 80 m² à construire Villeurbanne (69100),285295,3 chambres 80 m² 480 m²
Appartement neuf à Lyon 8e,299000,
Lyon 2E (69002),160000,2 pièces 1 chambre 27 m²
Lyon 2E (69002),190000,1 pièce 35 m²
Lyon 3E (69003),299000,3 pièces 2 chambres 60 m²
Lyon 4E (69004),680000,4 pièces 3 chambres 100 m²
Appartement neuf à Vaulx-en-Velin,254079,
Maison 118 m² à construire Saint-Priest (69800),432720,4 chambres 118 m² 436 m²
Villeurbanne (69100),285000,5 pièces 3 chambres 90 m²
Sérézin-Du-Rhône (69360),199000,3 pièces 2 chambres 66 m²
Saint-Genis-Les-Ollières (69290),530000,6 pièces 4 chambres 90 m²
Bron (69500),215000,2 pièces 1 chambre 51 m²
Le Perréon (69460),390000,7 pièces 4 chambres 157 m²
Fontaines-Saint-Martin (69270),1095000,6 pièces 5 chambres 185 m²
Vénissieux (69200),535000,7 pièces 5 chambres 230 m²
Maison 105 m² à construire Vénissieux (69200),310000,4 chambres 105 m² 300 m²
Appartement neuf à Vénissieux,222938,
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
Lyon 3E (69003),334000,3 pièces 2 chambres 74 m²
Vénissieux (69200),139000,2 pièces 1 chambre 41 m²
Appartement neuf à Villefranche-sur-Saône,184300,
Maison 90 m² à construire Mions (69780),409000,3 chambres 90 m² 599 m²
Lyon 3E (69003),480000,4 pièces 3 chambres 105 m²
Lyon 3E (69003),452000,3 pièces 2 chambres 70 m²
Les Ardillats (69430),469000,7 pièces 5 chambres 185 m²
Francheville (69340),180000,2 pièces 1 chambre 54 44 m²
Chaponost,699000,7 pièces 4 chambres 130 m²
Vénissieux (69200),535000,7 pièces 5 chambres 230 m²
Maison 105 m² à construire Vénissieux (69200),310000,4 chambres 105 m² 300 m²
Appartement neuf à Vénissieux,222938,
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
Lyon 3E (69003),334000,3 pièces 2 chambres 74 m²
Vénissieux (69200),139000,2 pièces 1 chambre 41 m²
Appartement neuf à Villefranche-sur-Saône,184300,
Maison 90 m² à construire Mions (69780),409000,3 chambres 90 m² 599 m²
Lyon 3E (69003),480000,4 pièces 3 chambres 105 m²
Lyon 3E (69003),452000,3 pièces 2 chambres 70 m²
Saint-Didier-Au-Mont-D'or (69370),1190000,8 pièces 6 chambres 217 m²
+ Garage Lyon 7E (69007),300000,3 pièces 2 chambres 52 54 m²
Lyon 3E (69003),258000,2 pièces 1 chambre 52 m²
Lyon 9E (69009),314000,3 pièces 2 chambres 66 m²
Sainte-Foy-Lès-Lyon (69110),260000,2 pièces 1 chambre 51 60 m²
Maison 93 m² à construire Belleville-en-Beaujolais (69220),397300,3 chambres 93 m² 980 m²
Appartement neuf à Genas,562000,
Villeurbanne (69100),225000,3 pièces 2 chambres 67 87 m²
Villeurbanne (69100),390000,4 pièces 3 chambres 81 m²
Marcy-L'étoile (69280),649000,6 pièces 5 chambres 180 m²
Le Perréon (69460),420000,8 pièces 4 chambres 167 m²
Maison 94 m² à construire Vaugneray (69670),418000,3 chambres 94 m² 427 m²
Collonges-Au-Mont-D'or (69660),220000,3 pièces 2 chambres 53 m²
Limonest,280000,3 pièces 2 chambres 67 m²
Lyon 8E (69008),308000,3 pièces 2 chambres 74 m²
Lyon 7E (69007),249000,2 pièces 1 chambre 59 m²
Lyon 9E (69009),314000,3 pièces 2 chambres 66 m²
Sainte-Foy-Lès-Lyon (69110),260000,2 pièces 1 chambre 51 60 m²
Maison 93 m² à construire Belleville-en-Beaujolais (69220),397300,3 chambres 93 m² 980 m²
Appartement neuf à Genas,562000,
Villeurbanne (69100),225000,3 pièces 2 chambres 67 87 m²
Villeurbanne (69100),390000,4 pièces 3 chambres 81 m²
Marcy-L'étoile (69280),649000,6 pièces 5 chambres 180 m²
Le Perréon (69460),420000,8 pièces 4 chambres 167 m²
Maison 94 m² à construire Vaugneray (69670),418000,3 chambres 94 m² 427 m²
Collonges-Au-Mont-D'or (69660),220000,3 pièces 2 chambres 53 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Chaponost,699000,7 pièces 4 chambres 130 m²
Vénissieux (69200),535000,7 pièces 5 chambres 230 m²
Val D'oingt (69620),275000,3 pièces 2 chambres 93 m²
Proximité Saint-Laurent-De-Chamousset,297500,6 pièces 4 chambres 130 m²
Mions (69780),599000,6 pièces 4 chambres 137 m²
Maison 120 m² à construire Saint-Bonnet-de-Mure (69720),449000,3 chambres 120 m² 616 m²
Appartement neuf à Sainte-Foy-lès-Lyon,284000,
Saint-Didier-Au-Mont-D'or (69370),1190000,8 pièces 6 chambres 217 m²
Vénissieux (69200),280000,4 pièces 3 chambres 68 m²
Lyon 6E (69006),455000,3 pièces 2 chambres 72 m²
Sainte-Foy-Lès-Lyon (69110),359000,3 pièces 2 chambres 68 m²
Appartement neuf à Bron,138000,
Maison 130 m² à construire Anse (69480),471900,5 chambres 130 m² 866 m²
Sainte-Foy-Lès-Lyon (69110),415000,4 pièces 3 chambres 105 m²
Lyon 3E (69003),319000,3 pièces 2 chambres 63 m²
Caluire-Et-Cuire,300000,4 pièces 2 chambres 78 m²
Val D'oingt (69620),275000,3 pièces 2 chambres 93 m²
Proximité Saint-Laurent-De-Chamousset,297500,6 pièces 4 chambres 130 m²
Mions (69780),599000,6 pièces 4 chambres 137 m²
Maison 120 m² à construire Saint-Bonnet-de-Mure (69720),449000,3 chambres 120 m² 616 m²
Appartement neuf à Sainte-Foy-lès-Lyon,284000,
Saint-Didier-Au-Mont-D'or (69370),1190000,8 pièces 6 chambres 217 m²
Vénissieux (69200),280000,4 pièces 3 chambres 68 m²
Lyon 6E (69006),455000,3 pièces 2 chambres 72 m²
Sainte-Foy-Lès-Lyon (69110),359000,3 pièces 2 chambres 68 m²
Appartement neuf à Bron,138000,
Maison 130 m² à construire Anse (69480),471900,5 chambres 130 m² 866 m²
Sainte-Foy-Lès-Lyon (69110),415000,4 pièces 3 chambres 105 m²
Bron (69500),215000,2 pièces 1 chambre 51 m²
Caluire-Et-Cuire,300000,4 pièces 2 chambres 78 m²
Villeurbanne (69100),198000,2 pièces 1 chambre 37 m²
Bron (69500),265000,3 pièces 2 chambres 66 m²
Lyon 1Er (69001),375000,3 pièces 2 chambres 74 m²
Lyon 5E (69005),389000,4 pièces 3 chambres 97 m²
Maison 89 m² à construire Val d'Oingt (69620),329000,3 chambres 89 m² 387 m²
Appartement neuf à Lyon 8e,439583,
Saint-Germain-Nuelles (69210),820000,6 pièces 4 chambres 335 m²
Liergues (69400),370000,6 pièces 4 chambres 200 m²
Chaponost (69630),680000,6 pièces 5 chambres 163 m²
Collonges-Au-Mont-D'or (69660),470000,5 pièces 3 chambres 105 m²
Dardilly (69570),475000,5 pièces 4 chambres 125 m²
+ Garage 75 M²,634000,5 pièces 4 chambres 125 m²
Thurins (69510),530000,8 pièces 6 chambres 178 m²
